Gene,tumour_suppressor,oncogene
A1CF,FALSE,TRUE
ABL1,FALSE,TRUE
ACVR1,FALSE,TRUE
ACVR2A,TRUE,FALSE
AKT1,FALSE,TRUE
ALK,FALSE,TRUE
AMER1,TRUE,FALSE
ANK1,FALSE,FALSE
APC,TRUE,FALSE
AR,FALSE,TRUE
ARAF,FALSE,TRUE
ARHGAP26,TRUE,FALSE
ARHGAP5,FALSE,TRUE
ARID1A,TRUE,TRUE
ARID1B,TRUE,FALSE
ARID2,TRUE,FALSE
ASXL1,TRUE,FALSE
ASXL2,TRUE,FALSE
ATM,TRUE,FALSE
ATP1A1,TRUE,TRUE
ATR,TRUE,FALSE
ATRX,TRUE,FALSE
AXIN1,TRUE,FALSE
AXIN2,TRUE,FALSE
B2M,TRUE,FALSE
BAP1,TRUE,FALSE
BARD1,TRUE,FALSE
BAX,TRUE,FALSE
BCL2L12,FALSE,TRUE
BCL6,FALSE,TRUE
BCL9L,TRUE,TRUE
BCLAF1,FALSE,FALSE
BCOR,TRUE,TRUE
BCORL1,TRUE,TRUE
BIRC3,TRUE,TRUE
BIRC6,FALSE,TRUE
BLM,TRUE,FALSE
BMP5,FALSE,FALSE
BMPR1A,TRUE,TRUE
BRAF,FALSE,TRUE
BRCA1,TRUE,FALSE
BRCA2,TRUE,FALSE
BRIP1,TRUE,FALSE
BTK,TRUE,TRUE
BUB1B,TRUE,FALSE
CACNA1D,FALSE,TRUE
CALR,FALSE,TRUE
CARD11,FALSE,TRUE
CASP8,TRUE,FALSE
CBL,TRUE,TRUE
CBLB,TRUE,FALSE
CBLC,TRUE,TRUE
CCR4,FALSE,TRUE
CCR7,FALSE,TRUE
CD209,FALSE,FALSE
CD28,FALSE,TRUE
CD79A,FALSE,TRUE
CD79B,FALSE,TRUE
CDC73,TRUE,FALSE
CDH1,TRUE,TRUE
CDH10,TRUE,FALSE
CDH17,FALSE,TRUE
CDK12,TRUE,FALSE
CDK4,FALSE,TRUE
CDKN1A,TRUE,TRUE
CDKN1B,TRUE,FALSE
CDKN2A,TRUE,FALSE
CEBPA,TRUE,TRUE
CHD2,TRUE,FALSE
CHD4,TRUE,TRUE
CHEK2,TRUE,FALSE
CIC,TRUE,TRUE
CNBD1,FALSE,TRUE
CNOT3,TRUE,FALSE
CNTNAP2,TRUE,FALSE
COL2A1,FALSE,FALSE
CREBBP,TRUE,TRUE
CRLF2,FALSE,TRUE
CRNKL1,FALSE,FALSE
CSF1R,FALSE,TRUE
CSF3R,FALSE,TRUE
CSMD3,TRUE,FALSE
CTCF,TRUE,FALSE
CTNNA2,FALSE,TRUE
CTNNB1,FALSE,TRUE
CTNND1,TRUE,FALSE
CTNND2,FALSE,TRUE
CUL3,TRUE,FALSE
CUX1,TRUE,TRUE
CXCR4,FALSE,TRUE
CYLD,TRUE,FALSE
CYP2C8,FALSE,FALSE
CYSLTR2,FALSE,TRUE
DAXX,TRUE,TRUE
DCAF12L2,FALSE,FALSE
DCC,FALSE,FALSE
DDB2,TRUE,TRUE
DDR2,FALSE,TRUE
DDX3X,TRUE,FALSE
DGCR8,FALSE,TRUE
DICER1,TRUE,TRUE
DNM2,TRUE,FALSE
DNMT3A,TRUE,FALSE
DROSHA,TRUE,FALSE
ECT2L,FALSE,FALSE
EED,TRUE,FALSE
EGFR,FALSE,TRUE
EIF1AX,FALSE,TRUE
ELF3,TRUE,FALSE
EP300,TRUE,TRUE
EPAS1,TRUE,TRUE
EPHA3,FALSE,FALSE
EPHA7,FALSE,FALSE
ERBB2,FALSE,TRUE
ERBB3,FALSE,TRUE
ERBB4,TRUE,TRUE
ERCC2,TRUE,TRUE
ERCC3,TRUE,FALSE
ERCC4,TRUE,FALSE
ERCC5,TRUE,FALSE
ESR1,TRUE,TRUE
ETNK1,TRUE,FALSE
EXT1,TRUE,FALSE
EXT2,TRUE,FALSE
EZH2,TRUE,TRUE
FAM135B,FALSE,FALSE
FAM47C,FALSE,FALSE
FANCA,TRUE,FALSE
FANCC,TRUE,FALSE
FANCD2,TRUE,FALSE
FANCE,TRUE,FALSE
FANCF,TRUE,FALSE
FANCG,TRUE,FALSE
FAS,TRUE,FALSE
