sample_accession,output_file,file_accession,extension,pipeline_version
ENCSR660LPJ,intact_hic/mcf-7/filtered_contact_matrix,ENCFF420JTA,hic,v1.10.0
ENCSR660LPJ,intact_hic/mcf-7/contact_domains,ENCFF164AGX,bedpe.gz,v1.10.0
ENCSR707XVJ,intact_hic/hmec/filtered_contact_matrix,ENCFF512PQA,hic,v1.11.2
ENCSR707XVJ,intact_hic/hmec/contact_domains,ENCFF286QBA,bedpe.gz,v1.11.2
ENCSR549MGQ,insitu_hic/t47d/filtered_contact_matrix,ENCFF832RTC,hic,v1.10.0
ENCSR549MGQ,insitu_hic/t47d/contact_domains,ENCFF804SET,bedpe.gz,v1.10.0
ENCSR549MGQ,insitu_hic/t47d/genome_compartments,ENCFF327LIB,bigWig,v1.10.0
ENCSR711AVS,insitu_hic/hmec/filtered_contact_matrix,ENCFF943JRY,hic,v1.15.1
ENCSR711AVS,insitu_hic/hmec/contact_domains,ENCFF578NLR,bedpe.gz,v1.15.1
ENCSR711AVS,insitu_hic/hmec/genome_compartments,ENCFF863UVK,bigWig,v1.15.1
ENCSR560BUE,chipseq/mcf-7/ctcf,ENCFF507CRU,bigWig,v1.5.1
ENCSR000DUS,chipseq/hmec/ctcf,ENCFF427PIM,bigWig,v1.5.1
ENCSR000BNO,chipseq/t47d/ctcf,ENCFF784SHH,bigWig,v1.5.1
ENCSR444WCZ,insitu_hic/a549/filtered_contact_matrix,ENCFF689CUX,hic,v1.10.0
ENCSR444WCZ,insitu_hic/a549/genome_compartments,ENCFF575JLT,bigWig,v1.10.0
ENCSR489OCU,insitu_hic/h460/filtered_contact_matrix,ENCFF676IVH,hic,v1.10.0
ENCSR489OCU,insitu_hic/h460/genome_compartments,ENCFF079BUT,bigWig,v1.10.0
ENCSR852KQC,insitu_hic/imr-90/filtered_contact_matrix,ENCFF685BLG,hic,v1.2.1
ENCSR852KQC,insitu_hic/imr-90/contact_domains,ENCFF282ABK,bedpe.gz,v1.2.1
ENCSR852KQC,insitu_hic/imr-90/genome_compartments,ENCFF924HBN,bigWig,v1.2.1
