chr	start	stop	timing	cancerType
chr1	150000	2e+05	late	LUAD
chr1	250000	3e+05	late	LUAD
chr1	6e+05	650000	early	LUAD
chr1	750000	8e+05	early	LUAD
chr1	8e+05	850000	early	LUAD
chr1	850000	9e+05	early	LUAD
chr1	1150000	1200000	early	LUAD
chr1	1200000	1250000	early	LUAD
chr1	1600000	1650000	early	LUAD
chr1	1650000	1700000	early	LUAD
chr1	1850000	1900000	early	LUAD
chr1	1950000	2e+06	early	LUAD
chr1	2e+06	2050000	early	LUAD
chr1	2050000	2100000	early	LUAD
chr1	2100000	2150000	early	LUAD
chr1	2150000	2200000	early	LUAD
chr1	2200000	2250000	early	LUAD
chr1	2250000	2300000	early	LUAD
chr1	2300000	2350000	early	LUAD
chr1	2350000	2400000	early	LUAD
chr1	2400000	2450000	early	LUAD
chr1	2800000	2850000	late	LUAD
chr1	2850000	2900000	late	LUAD
chr1	3100000	3150000	late	LUAD
chr1	3150000	3200000	late	LUAD
chr1	3200000	3250000	late	LUAD
chr1	3250000	3300000	late	LUAD
chr1	3350000	3400000	later	LUAD
chr1	3450000	3500000	later	LUAD
chr1	3500000	3550000	later	LUAD
chr1	3650000	3700000	early	LUAD
chr1	3700000	3750000	early	LUAD
chr1	4e+06	4050000	late	LUAD
chr1	4050000	4100000	late	LUAD
chr1	4100000	4150000	late	LUAD
chr1	4150000	4200000	late	LUAD
chr1	4200000	4250000	late	LUAD
chr1	4250000	4300000	late	LUAD
chr1	4300000	4350000	late	LUAD
chr1	4350000	4400000	late	LUAD
chr1	4400000	4450000	late	LUAD
chr1	4450000	4500000	late	LUAD
chr1	4500000	4550000	late	LUAD
chr1	4550000	4600000	late	LUAD
chr1	4600000	4650000	late	LUAD
chr1	4650000	4700000	late	LUAD
chr1	4700000	4750000	late	LUAD
chr1	4750000	4800000	late	LUAD
chr1	4800000	4850000	late	LUAD
chr1	4850000	4900000	late	LUAD
chr1	4900000	4950000	late	LUAD
chr1	4950000	5e+06	late	LUAD
chr1	5e+06	5050000	late	LUAD
chr1	5050000	5100000	late	LUAD
chr1	5100000	5150000	late	LUAD
chr1	5150000	5200000	late	LUAD
chr1	5200000	5250000	late	LUAD
chr1	5250000	5300000	late	LUAD
chr1	5300000	5350000	late	LUAD
chr1	5350000	5400000	late	LUAD
chr1	5400000	5450000	late	LUAD
chr1	5450000	5500000	late	LUAD
chr1	5500000	5550000	late	LUAD
chr1	5550000	5600000	late	LUAD
chr1	5600000	5650000	late	LUAD
chr1	5650000	5700000	late	LUAD
chr1	5700000	5750000	late	LUAD
chr1	5750000	5800000	late	LUAD
chr1	5850000	5900000	late	LUAD
chr1	5950000	6e+06	early	LUAD
chr1	6e+06	6050000	early	LUAD
chr1	6050000	6100000	early	LUAD
chr1	6100000	6150000	early	LUAD
chr1	6150000	6200000	early	LUAD
chr1	6200000	6250000	early	LUAD
chr1	6250000	6300000	early	LUAD
chr1	6300000	6350000	early	LUAD
chr1	6350000	6400000	early	LUAD
chr1	6450000	6500000	early	LUAD
chr1	6500000	6550000	early	LUAD
chr1	6550000	6600000	early	LUAD
chr1	6600000	6650000	early	LUAD
chr1	6650000	6700000	early	LUAD
chr1	6700000	6750000	early	LUAD
chr1	6750000	6800000	early	LUAD
chr1	6800000	6850000	early	LUAD
chr1	6950000	7e+06	late	LUAD
chr1	7700000	7750000	early	LUAD
chr1	7750000	7800000	early	LUAD
chr1	7800000	7850000	early	LUAD
chr1	7850000	7900000	early	LUAD
chr1	7900000	7950000	early	LUAD
chr1	8250000	8300000	early	LUAD
chr1	8300000	8350000	early	LUAD
chr1	8350000	8400000	early	LUAD
chr1	8400000	8450000	early	LUAD
chr1	8450000	8500000	early	LUAD
chr1	8500000	8550000	early	LUAD
chr1	8550000	8600000	early	LUAD
chr1	8600000	8650000	early	LUAD
chr1	8650000	8700000	early	LUAD
chr1	8700000	8750000	early	LUAD
chr1	8750000	8800000	early	LUAD
chr1	8950000	9e+06	early	LUAD
chr1	9e+06	9050000	early	LUAD
chr1	9050000	9100000	early	LUAD
chr1	9100000	9150000	early	LUAD
chr1	9150000	9200000	early	LUAD
chr1	9200000	9250000	early	LUAD
chr1	9250000	9300000	early	LUAD
chr1	9300000	9350000	early	LUAD
chr1	9350000	9400000	early	LUAD
chr1	9400000	9450000	early	LUAD
chr1	9450000	9500000	early	LUAD
chr1	9500000	9550000	early	LUAD
chr1	9550000	9600000	early	LUAD
chr1	9600000	9650000	early	LUAD
chr1	9650000	9700000	early	LUAD
chr1	9700000	9750000	early	LUAD
chr1	9750000	9800000	early	LUAD
chr1	9900000	9950000	early	LUAD
chr1	9950000	1e+07	early	LUAD
chr1	1e+07	10050000	early	LUAD
chr1	10050000	10100000	early	LUAD
chr1	10100000	10150000	early	LUAD
chr1	10150000	10200000	early	LUAD
chr1	10200000	10250000	early	LUAD
chr1	10250000	10300000	early	LUAD
chr1	10300000	10350000	early	LUAD
chr1	10350000	10400000	early	LUAD
chr1	10400000	10450000	early	LUAD
chr1	10450000	10500000	early	LUAD
chr1	10500000	10550000	early	LUAD
chr1	10550000	10600000	early	LUAD
chr1	10600000	10650000	early	LUAD
chr1	10650000	10700000	early	LUAD
chr1	10700000	10750000	early	LUAD
chr1	10750000	10800000	early	LUAD
chr1	10800000	10850000	early	LUAD
chr1	10850000	10900000	early	LUAD
chr1	10900000	10950000	early	LUAD
chr1	10950000	1.1e+07	early	LUAD
chr1	1.1e+07	11050000	early	LUAD
chr1	11050000	11100000	early	LUAD
chr1	11100000	11150000	early	LUAD
chr1	11150000	11200000	early	LUAD
chr1	11200000	11250000	early	LUAD
chr1	11250000	11300000	early	LUAD
chr1	11300000	11350000	early	LUAD
chr1	11350000	11400000	early	LUAD
chr1	11400000	11450000	early	LUAD
chr1	11450000	11500000	early	LUAD
chr1	11500000	11550000	early	LUAD
chr1	11550000	11600000	early	LUAD
chr1	11600000	11650000	early	LUAD
chr1	11650000	11700000	early	LUAD
chr1	11700000	11750000	early	LUAD
chr1	11750000	11800000	early	LUAD
chr1	11800000	11850000	early	LUAD
chr1	11850000	11900000	early	LUAD
chr1	11900000	11950000	early	LUAD
chr1	11950000	1.2e+07	early	LUAD
chr1	1.2e+07	12050000	early	LUAD
chr1	12050000	12100000	early	LUAD
chr1	12100000	12150000	early	LUAD
chr1	12150000	12200000	early	LUAD
chr1	12200000	12250000	early	LUAD
chr1	12250000	12300000	early	LUAD
chr1	12300000	12350000	early	LUAD
chr1	12350000	12400000	early	LUAD
chr1	12400000	12450000	early	LUAD
chr1	12450000	12500000	early	LUAD
chr1	12500000	12550000	early	LUAD
chr1	12550000	12600000	early	LUAD
chr1	12600000	12650000	early	LUAD
chr1	12650000	12700000	early	LUAD
chr1	12700000	12750000	early	LUAD
chr1	12750000	12800000	early	LUAD
chr1	12800000	12850000	early	LUAD
