gene_name	chr	start	stop	timing	cancerType
OR4F5	chr1	69091	70008	late	LUAD
LOC729737	chr1	134773	140566	late	LUAD
LOC100288069	chr1	700245	714068	early	LUAD
LINC00115	chr1	761586	762902	early	LUAD
LINC01128	chr1	762971	794826	early	LUAD
FAM41C	chr1	803451	812182	early	LUAD
CFAP74	chr1	1884752	1935276	early	LUAD
GABRD	chr1	1950768	1962192	early	LUAD
PRKCZ	chr1	1981909	2116834	early	LUAD
SKI	chr1	2160134	2241652	early	LUAD
MORN1	chr1	2252696	2322993	early	LUAD
LOC100129534	chr1	2281853	2284100	early	LUAD
RER1	chr1	2323214	2336885	early	LUAD
PEX10	chr1	2336241	2344010	early	LUAD
PLCH2	chr1	2407754	2436969	early	LUAD
PANK4	chr1	2439975	2458035	early	LUAD
HES5	chr1	2460184	2461684	early	LUAD
TNFRSF14-AS1	chr1	2481359	2484284	early	LUAD
TNFRSF14	chr1	2487805	2495267	early	LUAD
PRDM16	chr1	2985742	3355185	late	LUAD
TP73-AS1	chr1	3652548	3663937	early	LUAD
CCDC27	chr1	3668965	3688209	early	LUAD
SMIM1	chr1	3689334	3692546	early	LUAD
LRRC47	chr1	3696784	3713068	early	LUAD
LINC01777	chr1	4472111	4484744	late	LUAD
AJAP1	chr1	4715105	4843851	late	LUAD
KCNAB2	chr1	6052358	6161253	early	LUAD
CHD5	chr1	6161847	6240194	early	LUAD
RPL22	chr1	6245080	6259679	early	LUAD
RNF207	chr1	6266189	6281359	early	LUAD
ICMT	chr1	6281253	6296044	early	LUAD
HES3	chr1	6304252	6305638	early	LUAD
GPR153	chr1	6307406	6321035	early	LUAD
ACOT7	chr1	6324332	6453826	early	LUAD
ESPN	chr1	6484848	6521004	early	LUAD
TNFRSF25	chr1	6521214	6526255	early	LUAD
PLEKHG5	chr1	6526152	6580121	early	LUAD
NOL9	chr1	6581407	6614658	early	LUAD
TAS1R1	chr1	6615338	6639817	early	LUAD
ZBTB48	chr1	6640056	6649340	early	LUAD
KLHL21	chr1	6650779	6662929	early	LUAD
PHF13	chr1	6673756	6684093	early	LUAD
