gene_name	chr	start	stop	timing	cancerType
WASH7P	chr1	14362	29961	early	BRCA
LOC729737	chr1	134773	140566	early	BRCA
LINC00115	chr1	761586	762902	early	BRCA
LINC01128	chr1	762971	794826	early	BRCA
FAM41C	chr1	803451	812182	early	BRCA
SAMD11	chr1	860530	879961	early	BRCA
NOC2L	chr1	879583	894679	early	BRCA
KLHL17	chr1	895967	901099	early	BRCA
PLEKHN1	chr1	901877	910484	early	BRCA
PERM1	chr1	910579	917473	early	BRCA
ISG15	chr1	948847	949919	early	BRCA
AGRN	chr1	955503	991499	early	BRCA
RNF223	chr1	1007126	1009687	early	BRCA
C1orf159	chr1	1017198	1051736	early	BRCA
SDF4	chr1	1152288	1167447	early	BRCA
B3GALT6	chr1	1167629	1170420	early	BRCA
C1QTNF12	chr1	1177826	1182102	early	BRCA
UBE2J2	chr1	1189292	1209234	early	BRCA
SCNN1D	chr1	1215816	1227409	early	BRCA
ACAP3	chr1	1227764	1244989	early	BRCA
PUSL1	chr1	1243994	1247057	early	BRCA
INTS11	chr1	1246965	1260067	early	BRCA
CPTP	chr1	1260143	1264276	early	BRCA
TAS1R3	chr1	1266726	1269844	early	BRCA
DVL1	chr1	1270658	1284492	early	BRCA
MXRA8	chr1	1288071	1297157	early	BRCA
CCNL2	chr1	1321091	1334718	early	BRCA
MRPL20-AS1	chr1	1334910	1337426	early	BRCA
MRPL20	chr1	1337276	1342693	early	BRCA
ANKRD65	chr1	1353800	1356824	early	BRCA
VWA1	chr1	1370903	1378262	early	BRCA
ATAD3C	chr1	1385069	1405538	early	BRCA
ATAD3B	chr1	1407164	1444689	early	BRCA
ATAD3A	chr1	1447523	1470067	early	BRCA
TMEM240	chr1	1470158	1475740	early	BRCA
SSU72	chr1	1477053	1510262	early	BRCA
MIB2	chr1	1550795	1565990	early	BRCA
CDK11B	chr1	1571100	1655775	early	BRCA
SLC35E2B	chr1	1590988	1677438	early	BRCA
CDK11A	chr1	1634170	1655791	early	BRCA
SLC35E2A	chr1	1656277	1677438	early	BRCA
NADK	chr1	1682671	1711508	early	BRCA
GNB1	chr1	1716725	1822526	early	BRCA
CALML6	chr1	1846266	1848733	early	BRCA
TMEM52	chr1	1849029	1850740	early	BRCA
CFAP74	chr1	1884752	1935276	early	BRCA
GABRD	chr1	1950768	1962192	early	BRCA
PRKCZ	chr1	1981909	2116834	early	BRCA
FAAP20	chr1	2115899	2139172	early	BRCA
SKI	chr1	2160134	2241652	early	BRCA
MORN1	chr1	2252696	2322993	early	BRCA
RER1	chr1	2323214	2336885	early	BRCA
PEX10	chr1	2336241	2344010	early	BRCA
PLCH2	chr1	2407754	2436969	early	BRCA
TTC34	chr1	2572807	2706230	later	BRCA
PRDM16-DT	chr1	2976181	2984289	later	BRCA
MEGF6	chr1	3404506	3528059	early	BRCA
TPRG1L	chr1	3541556	3546694	early	BRCA
WRAP73	chr1	3547331	3566671	early	BRCA
TP73	chr1	3569129	3652765	early	BRCA
CCDC27	chr1	3668965	3688209	early	BRCA
SMIM1	chr1	3689334	3692546	early	BRCA
LRRC47	chr1	3696784	3713068	early	BRCA
CEP104	chr1	3728645	3773797	early	BRCA
DFFB	chr1	3773845	3801993	early	BRCA
LINC01777	chr1	4472111	4484744	late	BRCA
AJAP1	chr1	4715105	4843851	late	BRCA
MIR4689	chr1	5922732	5922801	early	BRCA
NPHP4	chr1	5922870	6052533	early	BRCA
KCNAB2	chr1	6052358	6161253	early	BRCA
CHD5	chr1	6161847	6240194	early	BRCA
RPL22	chr1	6245080	6259679	early	BRCA
RNF207	chr1	6266189	6281359	early	BRCA
ICMT	chr1	6281253	6296044	early	BRCA
HES3	chr1	6304252	6305638	early	BRCA
GPR153	chr1	6307406	6321035	early	BRCA
ACOT7	chr1	6324332	6453826	early	BRCA
HES2	chr1	6472498	6484730	early	BRCA
ESPN	chr1	6484848	6521004	early	BRCA
TNFRSF25	chr1	6521214	6526255	early	BRCA
PLEKHG5	chr1	6526152	6580121	early	BRCA
NOL9	chr1	6581407	6614658	early	BRCA
TAS1R1	chr1	6615338	6639817	early	BRCA
ZBTB48	chr1	6640056	6649340	early	BRCA
KLHL21	chr1	6650779	6662929	early	BRCA
PHF13	chr1	6673756	6684093	early	BRCA
THAP3	chr1	6684925	6695646	early	BRCA
DNAJC11	chr1	6694228	6761966	early	BRCA
VAMP3	chr1	7831329	7841492	early	BRCA
PER3	chr1	7844380	7905237	early	BRCA
UTS2	chr1	7903143	7973294	early	BRCA
TNFRSF9	chr1	7975931	8003225	early	BRCA
PARK7	chr1	8021714	8045342	early	BRCA
ERRFI1	chr1	8071779	8086393	early	BRCA
SLC45A1	chr1	8384390	8404227	early	BRCA
RERE	chr1	8412464	8877699	early	BRCA
ENO1	chr1	8921059	8939151	early	BRCA
CA6	chr1	9005893	9035148	early	BRCA
SLC2A7	chr1	9063359	9086404	early	BRCA
SLC2A5	chr1	9097005	9148510	early	BRCA
GPR157	chr1	9164476	9189229	early	BRCA
MIR34A	chr1	9211727	9211836	early	BRCA
H6PD	chr1	9294863	9331394	early	BRCA
